# Public rendered DOM: https://www.pricecharting.com/console/pokemon-chaos-rising
# Observed: 2026-09-08T06:47:06.661Z
# Columns: title|source slug|PSA 10 USD (blank means source has no quote)
Mega Greninja ex #116|mega-greninja-ex-116|495.00
Mega Greninja ex #122|mega-greninja-ex-122|785.38
Froakie #88|froakie-88|132.75
Cinccino ex #119|cinccino-ex-119|229.25
Xerneas #91|xerneas-91|155.00
Frogadier #89|frogadier-89|115.25
Mega Dragalge ex #118|mega-dragalge-ex-118|171.05
Ampharos #90|ampharos-90|131.50
Mega Greninja ex #100|mega-greninja-ex-100|132.75
Mega Floette ex #117|mega-floette-ex-117|172.33
Chespin #87|chespin-87|121.88
Crobat #93|crobat-93|99.99
Tauros #96|tauros-96|120.01
Mega Greninja ex #22|mega-greninja-ex-22|64.08
Claydol #92|claydol-92|200.10
Metang #94|metang-94|83.00
Watchog #97|watchog-97|61.88
Sliggoo #95|sliggoo-95|51.53
AZ's Tranquility #120|az%27s-tranquility-120|123.00
Mega Gallade ex #48|mega-gallade-ex-48|36.00
Mega Pyroar ex #99|mega-pyroar-ex-99|63.00
Roxie's Performance #121|roxie%27s-performance-121|131.82
Mega Dragalge ex #65|mega-dragalge-ex-65|34.78
Mega Floette ex #101|mega-floette-ex-101|92.00
Mega Floette Ex #35|mega-floette-ex-35|36.04
Mega Dragalge ex #104|mega-dragalge-ex-104|54.23
Krookodile ex #55|krookodile-ex-55|60.00
Cinccino ex #73|cinccino-ex-73|35.07
Beedrill ex #98|beedrill-ex-98|95.50
Surfing Beach #114|surfing-beach-114|133.35
Ho-Oh #10|ho-oh-10|32.99
Mega Pyroar ex #15|mega-pyroar-ex-15|29.20
Cobalion ex #64|cobalion-ex-64|34.40
Roxie's Performance #112|roxie%27s-performance-112|54.00
Gourgeist ex #41|gourgeist-ex-41|36.04
Emma #107|emma-107|318.58
Cinccino ex #105|cinccino-ex-105|52.00
Cobalion ex #103|cobalion-ex-103|158.22
Gourgeist ex #102|gourgeist-ex-102|22.00
Goodra #68|goodra-68|
AZ's Tranquility #106|az%27s-tranquility-106|32.78
Special Red Card #113|special-red-card-113|46.00
Prism Tower #111|prism-tower-111|44.48
Beedrill ex #3|beedrill-ex-3|37.48
Jumbo Ice Cream #109|jumbo-ice-cream-109|64.46
Ampharos #29|ampharos-29|53.49
Philippe #110|philippe-110|41.64
Energy Retrieval #108|energy-retrieval-108|53.57
Delphox #13|delphox-13|
Tool Scrapper #115|tool-scrapper-115|41.06
Xerneas #42|xerneas-42|32.71
Nitro R Energy #86|nitro-r-energy-86|33.43
Bubbly W Energy #84|bubbly-w-energy-84|33.14
Crobat #51|crobat-51|36.43
Keldeo #19|keldeo-19|33.58
Chesnaught #7|chesnaught-7|31.93
Magnetic M Energy #85|magnetic-m-energy-85|36.04
Trevenant #39|trevenant-39|32.90
Deoxys #32|deoxys-32|31.35
Ninetales #9|ninetales-9|33.38
Deoxys #31|deoxys-31|33.09
Metagross #61|metagross-61|33.43
Froakie #20|froakie-20|33.14
Deoxys #33|deoxys-33|30.39
Meowstic #37|meowstic-37|31.11
Vulpix #8|vulpix-8|38.55
Deoxys #34|deoxys-34|31.06
Golisopod #26|golisopod-26|31.40
Frogadier #21|frogadier-21|33.38
Emolga #30|emolga-30|30.58
Special Red Card #82|special-red-card-82|32.75
Delibird #18|delibird-18|31.21
Roxie's Performance #81|roxie%27s-performance-81|30.43
Garbodor #57|garbodor-57|12.00
Skuntank #54|skuntank-54|30.97
Weedle #1|weedle-1|31.21
Chespin #5|chespin-5|30.72
Minccino #72|minccino-72|31.21
AZ's Tranquility #76|az%27s-tranquility-76|31.98
Sudowoodo #43|sudowoodo-43|31.93
Fennekin #11|fennekin-11|31.50
Goomy #66|goomy-66|30.97
Tauros #69|tauros-69|30.97
Patrat #70|patrat-70|30.68
Espurr #36|espurr-36|32.61
Ferrothorn #63|ferrothorn-63|30.34
Braixen #12|braixen-12|31.01
Flaaffy #28|flaaffy-28|30.63
Transformation Tome #83|transformation-tome-83|31.21
Mareep #27|mareep-27|30.72
Litleo #14|litleo-14|30.72
Adversity Policy #74|adversity-policy-74|30.48
Skrelp #58|skrelp-58|31.11
Qwilfish #52|qwilfish-52|30.97
Kakuna #2|kakuna-2|31.93
Avalugg #24|avalugg-24|31.01
Sliggoo #67|sliggoo-67|30.72
Ange Floette #75|ange-floette-75|30.63
Octillery #17|octillery-17|31.11
Metang #60|metang-60|31.35
Claydol #47|claydol-47|30.43
Golbat #50|golbat-50|31.16
Beldum #59|beldum-59|30.97
Donphan #45|donphan-45|30.53
Watchog #71|watchog-71|31.06
Great Haul Net #78|great-haul-net-78|31.35
Pumpkaboo #40|pumpkaboo-40|30.97
Phantump #38|phantump-38|30.87
Remoraid #16|remoraid-16|30.87
Phanpy #44|phanpy-44|30.77
Prism Tower #80|prism-tower-80|32.66
Philippe #79|philippe-79|31.01
Quilladin #6|quilladin-6|31.26
Trubbish #56|trubbish-56|30.53
Emma #77|emma-77|31.01
Baltoy #46|baltoy-46|30.24
Ferroseed #62|ferroseed-62|30.34
Carnivine #4|carnivine-4|30.43
Bergmite #23|bergmite-23|30.48
Wimpod #25|wimpod-25|30.82
Stunky #53|stunky-53|31.06
Zubat #49|zubat-49|31.30
